Fill,5
1,29,8
1,27,9
0,29,7
7,29,6
6,27,8
3,27,7
3,25,9
0,29,5
1,23,2
0,24,10
6,27,6
0,25,8
7,29,4
5,25,7
3,27,5
1,23,9
4,25,6
3,27,4
1,23,8
4,25,5
7,23,7
1,27,3
6,25,4
3,23,6
1,21,8
1,27,2
1,21,7
3,25,3
3,23,5
3,23,4
1,21,6
1,25,2
5,23,3
1,21,5
1,19,5
2,30,6
2,32,4
1,30,5
2,32,6
1,30,8
2,32,5
7,30,7
3,28,8
2,28,7
6,26,9
3,26,8
3,28,6
1,31,10
1,22,3
7,22,2
4,26,7
4,28,5
0,24,9
1,26,6
3,24,8
1,28,4
1,24,7
5,26,5
7,28,3
3,26,4
6,24,6
1,22,8
1,24,5
5,26,3
0,22,7
6,22,6
2,24,4
1,20,8
1,26,2
3,24,3
5,22,5
0,20,7
7,22,4
7,24,2
0,31,5
1,31,8
0,31,7
2,31,6
